userId,beerId,rating,beerName,beerStyle
144,995,3.0,Mai Bock,Maibock / Helles Bock
63,58695,4.0,Hop In The Dark Cascadian Dark Ale,American Black Ale
147,4083,5.0,Stone Ruination IPA,American Double / Imperial IPA
4261,40310,3.0,Noël Des Géants,Herbed / Spiced Beer
140,1904,5.0,Sierra Nevada Celebration Ale,American IPA
112,409,4.0,Scrimshaw Pilsner,German Pilsener
1533,16858,4.0,Thomas Hardy's Ale (2003-2008),Old Ale
178,25061,5.0,J.W. Lees Harvest Ale (Lagavulin Whisky Cask),English Barleywine
35,14309,3.5,Samuel Adams Chocolate Bock,Bock
18134,13906,4.0,Winterhook Winter Ale,Winter Warmer
22893,59145,4.0,Sour Apple Saison,Saison / Farmhouse Ale
393,2931,2.0,Two Druids Gruit Ale,Scottish Gruit / Ancient Herbed Ale
141,188,4.0,Smuttynose Maibock (Big Beer Series),Maibock / Helles Bock
207,1696,4.5,Trappistes Rochefort 8,Dubbel
193,619,2.5,Boont ESB,Extra Special / Strong Bitter (ESB)
140,1904,4.0,Sierra Nevada Celebration Ale,American IPA
293,811,3.5,Bass Pale Ale,English Pale Ale
73,1792,4.0,Great Lakes Nosferatu,American Strong Ale
1549,1157,3.5,Honker's Ale,English Bitter
26,41716,4.0,Blackheart,English India Pale Ale (IPA)
15237,38334,5.0,Black Albert,Russian Imperial Stout
739,4924,4.0,Kriek De Ranke,Lambic - Fruit
354,5068,3.0,Cottonwood Low Down Brown Ale,English Brown Ale
401,4700,4.0,Baltika #8 Wheat,Hefeweizen
2447,36748,4.0,Idiot IPA,American Double / Imperial IPA
35,8297,3.0,Samuel Adams White Ale,Witbier
201,1116,4.0,De Dolle Dulle Teve (Mad Bitch),Tripel
447,1331,3.5,Pabst Blue Ribbon (PBR),American Adjunct Lager
112,411,4.0,Pranqster,Belgian Strong Pale Ale
173,20762,4.0,Doggie Claws,American Barleywine
15711,37298,4.5,Dark Force,Russian Imperial Stout
30,43903,4.0,Ale To The Chief,American Double / Imperial IPA
13014,46849,4.5,Abrasive Ale,American Double / Imperial IPA
590,49708,2.5,Unplugged Imperial Saison,Saison / Farmhouse Ale
63,26395,5.0,Hop Trip (Bond Street Series),American Pale Ale (APA)
